The Private Life of Henry VIII,1932,6,OUTSTANDING PRODUCTION,London Films,FALSE
She Done Him Wrong,1932,6,OUTSTANDING PRODUCTION,Paramount,FALSE
Smilin' Through,1932,6,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,FALSE
State Fair,1932,6,OUTSTANDING PRODUCTION,Fox,FALSE
Building a Building,1932,6,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",FALSE
The Merry Old Soul,1932,6,SHORT SUBJECT (Cartoon),"Walter Lantz, Producer",FALSE
The Three Little Pigs,1932,6,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",TRUE
Mister Mugg,1932,6,SHORT SUBJECT (Comedy),"Warren Doane, Producer",FALSE
A Preferred List,1932,6,SHORT SUBJECT (Comedy),"Louis Brock, Producer",FALSE
So This Is Harris,1932,6,SHORT SUBJECT (Comedy),"Louis Brock, Producer",TRUE
Krakatoa,1932,6,SHORT SUBJECT (Novelty),"Joe Rock, Producer",TRUE
Menu,1932,6,SHORT SUBJECT (Novelty),"Pete Smith, Producer",FALSE
The Sea,1932,6,SHORT SUBJECT (Novelty),Educational,FALSE
A Farewell to Arms,1932,6,SOUND RECORDING,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director",TRUE
42nd Street,1932,6,SOUND RECORDING,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",FALSE
Gold Diggers of 1933,1932,6,SOUND RECORDING,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",FALSE
I Am a Fugitive from a Chain Gang,1932,6,SOUND RECORDING,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",FALSE
Lady for a Day,1932,6,WRITING (Adaptation),Robert Riskin,FALSE
Little Women,1932,6,WRITING (Adaptation),"Victor Heerman, Sarah Y. Mason",TRUE
State Fair,1932,6,WRITING (Adaptation),"Paul Green, Sonya Levien",FALSE
One Way Passage,1932,6,WRITING (Original Story),Robert Lord,TRUE
The Prizefighter and the Lady,1932,6,WRITING (Original Story),Frances Marion,FALSE
Rasputin and the Empress,1932,6,WRITING (Original Story),Charles MacArthur,FALSE
It Happened One Night,1934,7,ACTOR,Clark Gable,TRUE
The Affairs of Cellini,1934,7,ACTOR,Frank Morgan,FALSE
The Thin Man,1934,7,ACTOR,William Powell,FALSE
It Happened One Night,1934,7,ACTRESS,Claudette Colbert,TRUE
Of Human Bondage,1934,7,ACTRESS,Bette Davis,FALSE
One Night of Love,1934,7,ACTRESS,Grace Moore,FALSE
The Barretts of Wimpole Street,1934,7,ACTRESS,Norma Shearer,FALSE
The Affairs of Cellini,1934,7,ART DIRECTION,Richard Day,FALSE
The Gay Divorcee,1934,7,ART DIRECTION,"Van Nest Polglase, Carroll Clark",FALSE
The Merry Widow,1934,7,ART DIRECTION,"Cedric Gibbons, Fredric Hope",TRUE
Cleopatra,1934,7,ASSISTANT DIRECTOR,Cullen Tate,FALSE
Imitation of Life,1934,7,ASSISTANT DIRECTOR,Scott Beal,FALSE
Viva Villa!,1934,7,ASSISTANT DIRECTOR,John Waters,TRUE
The Affairs of Cellini,1934,7,CINEMATOGRAPHY,Charles Rosher,FALSE
Cleopatra,1934,7,CINEMATOGRAPHY,Victor Milner,TRUE
Operator 13,1934,7,CINEMATOGRAPHY,George Folsey,FALSE
It Happened One Night,1934,7,DIRECTING,Frank Capra,TRUE
One Night of Love,1934,7,DIRECTING,Victor Schertzinger,FALSE
The Thin Man,1934,7,DIRECTING,W. S. Van Dyke,FALSE
Cleopatra,1934,7,FILM EDITING,Anne Bauchens,FALSE
Eskimo,1934,7,FILM EDITING,Conrad Nervig,TRUE
One Night of Love,1934,7,FILM EDITING,Gene Milford,FALSE
The Gay Divorcee,1934,7,MUSIC (Scoring),"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Kenneth Webb and Samuel Hoffenstein)",FALSE
The Lost Patrol,1934,7,MUSIC (Scoring),"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner)",FALSE
One Night of Love,1934,7,MUSIC (Scoring),"Columbia Studio Music Department, Louis Silvers, head of department  (Thematic Music by Victor Schertzinger and Gus Kahn)",TRUE
Flying Down to Rio,1934,7,MUSIC (Song),Music by Vincent Youmans; Lyrics by Edward Eliscu and Gus Kahn,FALSE
The Gay Divorcee,1934,7,MUSIC (Song),Music by Con Conrad; Lyrics by Herb Magidson,TRUE
